datatype	polymer	mean	std
hbnadmcmc	polyala-gly	2.33	0.33
hbnadmcmc	polyala_constrained	0.41	0.57
hbnadmcmc	polyalanine_default	0.0	0.0
hbnadmcmc	polyasparagine	0.0	0.0
hbnadmcmc	polygly_constrained	2.78	1.24
hbnadmcmc	polyglycine	1.88	0.33
hbnadmcmc	polyisoleucine	0.0	0.0
hbnadmcmc	polythreonine	0.0	0.0
hbnadmcmc	polyvaline	0.0	0.0
hbnadmcmc	polyisoleucine_turing	0.0	0.0
hbnadmcmc	polyisoleucine_78	0.0	0.0
hbnadmcmc	polyisoleucine_server191	0.0	0.0
hbnadmcsc	polyala-gly	0.02	0.02
hbnadmcsc	polyala_constrained	0.17	0.08
hbnadmcsc	polyalanine_default	0.04	0.01
hbnadmcsc	polyasparagine	0.45	0.31
hbnadmcsc	polygly_constrained	0.0	0.0
hbnadmcsc	polyglycine	0.0	0.0
hbnadmcsc	polyisoleucine	0.0	0.0
hbnadmcsc	polythreonine	0.0	0.0
hbnadmcsc	polyvaline	0.0	0.0
hbnadmcsc	polyisoleucine_turing	0.0	0.0
hbnadmcsc	polyisoleucine_78	0.0	0.0
hbnadmcsc	polyisoleucine_server191	0.0	0.0
hbnadscsc	polyala-gly	0.0	0.0
hbnadscsc	polyala_constrained	0.0	0.0
hbnadscsc	polyalanine_default	0.0	0.0
hbnadscsc	polyasparagine	2.45	0.16
hbnadscsc	polygly_constrained	0.0	0.0
hbnadscsc	polyglycine	0.0	0.0
hbnadscsc	polyisoleucine	0.0	0.0
hbnadscsc	polythreonine	2.3	0.19
hbnadscsc	polyvaline	0.0	0.0
hbnadscsc	polyisoleucine_turing	0.0	0.0
hbnadscsc	polyisoleucine_78	0.0	0.0
hbnadscsc	polyisoleucine_server191	0.0	0.0
hbnadp1mcmcstoch	polyala-gly	0.98	0.14
hbnadp1mcmcstoch	polyala_constrained	0.13	0.18
hbnadp1mcmcstoch	polyalanine_default	0.0	0.0
hbnadp1mcmcstoch	polyasparagine	0.0	0.0
hbnadp1mcmcstoch	polygly_constrained	1.79	0.6
hbnadp1mcmcstoch	polyglycine	0.9	0.07
hbnadp1mcmcstoch	polyisoleucine	0.0	0.0
hbnadp1mcmcstoch	polythreonine	0.0	0.0
hbnadp1mcmcstoch	polyvaline	0.0	0.0
hbnadp1mcmcstoch	polyisoleucine_turing	0.0	0.0
hbnadp1mcmcstoch	polyisoleucine_78	0.0	0.0
hbnadp1mcmcstoch	polyisoleucine_server191	0.0	0.0
hbnadp1mcscstoch	polyala-gly	0.02	0.02
hbnadp1mcscstoch	polyala_constrained	0.17	0.08
hbnadp1mcscstoch	polyalanine_default	0.04	0.01
hbnadp1mcscstoch	polyasparagine	0.41	0.31
hbnadp1mcscstoch	polygly_constrained	0.0	0.0
hbnadp1mcscstoch	polyglycine	0.0	0.0
hbnadp1mcscstoch	polyisoleucine	0.0	0.0
hbnadp1mcscstoch	polythreonine	0.0	0.0
hbnadp1mcscstoch	polyvaline	0.0	0.0
hbnadp1mcscstoch	polyisoleucine_turing	0.0	0.0
hbnadp1mcscstoch	polyisoleucine_78	0.0	0.0
hbnadp1mcscstoch	polyisoleucine_server191	0.0	0.0
hbnadp1scscstoch	polyala-gly	0.0	0.0
hbnadp1scscstoch	polyala_constrained	0.0	0.0
hbnadp1scscstoch	polyalanine_default	0.0	0.0
hbnadp1scscstoch	polyasparagine	1.72	0.19
hbnadp1scscstoch	polygly_constrained	0.0	0.0
hbnadp1scscstoch	polyglycine	0.0	0.0
hbnadp1scscstoch	polyisoleucine	0.0	0.0
hbnadp1scscstoch	polythreonine	0.81	0.32
hbnadp1scscstoch	polyvaline	0.0	0.0
hbnadp1scscstoch	polyisoleucine_turing	0.0	0.0
hbnadp1scscstoch	polyisoleucine_78	0.0	0.0
hbnadp1scscstoch	polyisoleucine_server191	0.0	0.0
hbnadp1mcmcstab	polyala-gly	1.34	0.46
hbnadp1mcmcstab	polyala_constrained	0.28	0.39
hbnadp1mcmcstab	polyalanine_default	0.0	0.0
hbnadp1mcmcstab	polyasparagine	0.0	0.0
hbnadp1mcmcstab	polygly_constrained	0.98	0.75
hbnadp1mcmcstab	polyglycine	0.99	0.35
hbnadp1mcmcstab	polyisoleucine	0.0	0.0
hbnadp1mcmcstab	polythreonine	0.0	0.0
hbnadp1mcmcstab	polyvaline	0.0	0.0
hbnadp1mcmcstab	polyisoleucine_turing	0.0	0.0
hbnadp1mcmcstab	polyisoleucine_78	0.0	0.0
hbnadp1mcmcstab	polyisoleucine_server191	0.0	0.0
hbnadp1mcscstab	polyala-gly	0.0	0.0
hbnadp1mcscstab	polyala_constrained	0.0	0.0
hbnadp1mcscstab	polyalanine_default	0.0	0.0
hbnadp1mcscstab	polyasparagine	0.05	0.0
hbnadp1mcscstab	polygly_constrained	0.0	0.0
hbnadp1mcscstab	polyglycine	0.0	0.0
hbnadp1mcscstab	polyisoleucine	0.0	0.0
hbnadp1mcscstab	polythreonine	0.0	0.0
hbnadp1mcscstab	polyvaline	0.0	0.0
hbnadp1mcscstab	polyisoleucine_turing	0.0	0.0
hbnadp1mcscstab	polyisoleucine_78	0.0	0.0
hbnadp1mcscstab	polyisoleucine_server191	0.0	0.0
hbnadp1scscstab	polyala-gly	0.0	0.0
hbnadp1scscstab	polyala_constrained	0.0	0.0
hbnadp1scscstab	polyalanine_default	0.0	0.0
