category	polymer	mean	std
Complete	polyala-gly	202.63	9.63
Complete	polyala_constrained	236.46	9.83
Complete	polyalanine_default	240.29	16.99
Complete	polyasparagine	84.07	8.95
Complete	polygly_constrained	283.91	45.28
Complete	polyglycine	212.58	50.71
Complete	polyisoleucine	80.88	15.33
Complete	polythreonine	80.21	3.21
Complete	polyvaline	66.25	2.02
Complete	polyisoleucine_turing	71.11	0.0
Complete	polyisoleucine_78	68.84	0.0
Complete	polyisoleucine_server191	80.6	0.0
1stpeak	polyala-gly	128.32	2.91
1stpeak	polyala_constrained	139.88	5.69
1stpeak	polyalanine_default	141.25	7.33
1stpeak	polyasparagine	50.86	8.98
1stpeak	polygly_constrained	108.55	6.18
1stpeak	polyglycine	84.94	10.37
1stpeak	polyisoleucine	52.8	7.98
1stpeak	polythreonine	47.03	4.54
1stpeak	polyvaline	44.25	0.96
1stpeak	polyisoleucine_turing	38.34	0.0
1stpeak	polyisoleucine_78	44.57	0.0
1stpeak	polyisoleucine_server191	44.15	0.0
2aadist	polyala-gly	131.89	1.95
2aadist	polyala_constrained	144.0	6.01
2aadist	polyalanine_default	143.33	8.0
2aadist	polyasparagine	50.57	8.44
2aadist	polygly_constrained	194.34	13.46
2aadist	polyglycine	131.6	22.15
2aadist	polyisoleucine	48.92	4.54
2aadist	polythreonine	51.21	3.83
2aadist	polyvaline	45.34	1.7
2aadist	polyisoleucine_turing	37.74	0.0
2aadist	polyisoleucine_78	45.22	0.0
2aadist	polyisoleucine_server191	46.89	0.0
