poltype	hbtype	occurence
3VAL	ring_1_BC	0.4
3VAL	ring_2_BC	0.72
3VAL	ring_3_BC	0.73
3VAL	ring_1_DC	0.1
3VAL	ring_2_DC	0.6
3VAL	ring_3_DC	0.39
2THR	ring_1_BC	0.07
2THR	ring_2_BC	0.19
2THR	ring_3_BC	0.28
2THR	ring_1_DC	0.29
2THR	ring_2_DC	0.06
2THR	ring_3_DC	0.09
1ALAGLY	ring_1_BC	0.42
1ALAGLY	ring_2_BC	0.47
1ALAGLY	ring_3_BC	0.71
1ALAGLY	ring_1_DC	0.47
1ALAGLY	ring_2_DC	0.34
1ALAGLY	ring_3_DC	0.35
1ALA	ring_1_BC	0.56
1ALA	ring_2_BC	0.62
1ALA	ring_3_BC	0.73
1ALA	ring_1_DC	0.47
1ALA	ring_2_DC	0.52
1ALA	ring_3_DC	0.56
1GLY	ring_1_BC	0.23
1GLY	ring_2_BC	0.25
1GLY	ring_3_BC	0.06
1GLY	ring_1_DC	0.35
1GLY	ring_2_DC	0.23
1GLY	ring_3_DC	0.06
2ASN	ring_1_BC	0.3
2ASN	ring_2_BC	0.68
2ASN	ring_3_BC	0.47
2ASN	ring_1_DC	0.48
2ASN	ring_2_DC	0.39
2ASN	ring_3_DC	0.61
3ILE	ring_1_BC	0.18
3ILE	ring_2_BC	0.39
3ILE	ring_3_BC	0.6
3ILE	ring_1_DC	0.7
3ILE	ring_2_DC	0.7
3ILE	ring_3_DC	0.62
