poltype	hbtype	occurence
3VAL	ring_1_BC	0.91
3VAL	ring_2_BC	0.96
3VAL	ring_3_BC	0.98
3VAL	ring_1_DC	0.17
3VAL	ring_2_DC	0.8
3VAL	ring_3_DC	0.76
2THR	ring_1_BC	0.4
2THR	ring_2_BC	0.49
2THR	ring_3_BC	0.37
2THR	ring_1_DC	0.44
2THR	ring_2_DC	0.23
2THR	ring_3_DC	0.35
1ALAGLY	ring_1_BC	0.84
1ALAGLY	ring_2_BC	0.88
1ALAGLY	ring_3_BC	0.97
1ALAGLY	ring_1_DC	0.83
1ALAGLY	ring_2_DC	0.72
1ALAGLY	ring_3_DC	0.82
1ALA	ring_1_BC	0.91
1ALA	ring_2_BC	0.92
1ALA	ring_3_BC	0.98
1ALA	ring_1_DC	0.78
1ALA	ring_2_DC	0.87
1ALA	ring_3_DC	0.93
1GLY	ring_1_BC	0.64
1GLY	ring_2_BC	0.67
1GLY	ring_3_BC	0.83
1GLY	ring_1_DC	0.74
1GLY	ring_2_DC	0.64
1GLY	ring_3_DC	0.56
2ASN	ring_1_BC	0.91
2ASN	ring_2_BC	0.94
2ASN	ring_3_BC	0.89
2ASN	ring_1_DC	0.67
2ASN	ring_2_DC	0.78
2ASN	ring_3_DC	0.96
3ILE	ring_1_BC	0.49
3ILE	ring_2_BC	0.61
3ILE	ring_3_BC	0.95
3ILE	ring_1_DC	0.96
3ILE	ring_2_DC	0.97
3ILE	ring_3_DC	0.95
