poltype	hbtype	occurence
3VAL	ring_1_BC	0.08
3VAL	ring_2_BC	0.33
3VAL	ring_3_BC	0.83
3VAL	ring_1_DC	0.45
3VAL	ring_2_DC	0.62
3VAL	ring_3_DC	0.55
2THR	ring_1_BC	0.15
2THR	ring_2_BC	0.34
2THR	ring_3_BC	0.52
2THR	ring_1_DC	0.29
2THR	ring_2_DC	0.22
2THR	ring_3_DC	0.62
1ALAGLY	ring_1_BC	0.34
1ALAGLY	ring_2_BC	0.39
1ALAGLY	ring_3_BC	0.66
1ALAGLY	ring_1_DC	0.4
1ALAGLY	ring_2_DC	0.46
1ALAGLY	ring_3_DC	0.38
1ALA	ring_1_BC	0.56
1ALA	ring_2_BC	0.61
1ALA	ring_3_BC	0.62
1ALA	ring_1_DC	0.57
1ALA	ring_2_DC	0.4
1ALA	ring_3_DC	0.53
1GLY	ring_1_BC	0.15
1GLY	ring_2_BC	0.2
1GLY	ring_3_BC	0.52
1GLY	ring_1_DC	0.25
1GLY	ring_2_DC	0.23
1GLY	ring_3_DC	0.13
2ASN	ring_1_BC	0.27
2ASN	ring_2_BC	0.35
2ASN	ring_3_BC	0.78
2ASN	ring_1_DC	0.26
2ASN	ring_2_DC	0.14
2ASN	ring_3_DC	0.27
3ILE	ring_1_BC	0.49
3ILE	ring_2_BC	0.54
3ILE	ring_3_BC	0.6
3ILE	ring_1_DC	0.68
3ILE	ring_2_DC	0.73
3ILE	ring_3_DC	0.3
