poltype	hbtype	occurence
3VAL	ring_1_BC	0.42
3VAL	ring_2_BC	0.56
3VAL	ring_3_BC	0.99
3VAL	ring_1_DC	0.81
3VAL	ring_2_DC	0.85
3VAL	ring_3_DC	0.94
2THR	ring_1_BC	0.51
2THR	ring_2_BC	0.67
2THR	ring_3_BC	0.9
2THR	ring_1_DC	0.83
2THR	ring_2_DC	0.65
2THR	ring_3_DC	0.93
1ALAGLY	ring_1_BC	0.7
1ALAGLY	ring_2_BC	0.73
1ALAGLY	ring_3_BC	0.95
1ALAGLY	ring_1_DC	0.84
1ALAGLY	ring_2_DC	0.87
1ALAGLY	ring_3_DC	0.9
1ALA	ring_1_BC	0.91
1ALA	ring_2_BC	0.93
1ALA	ring_3_BC	0.96
1ALA	ring_1_DC	0.87
1ALA	ring_2_DC	0.81
1ALA	ring_3_DC	0.93
1GLY	ring_1_BC	0.47
1GLY	ring_2_BC	0.58
1GLY	ring_3_BC	0.93
1GLY	ring_1_DC	0.65
1GLY	ring_2_DC	0.67
1GLY	ring_3_DC	0.6
2ASN	ring_1_BC	0.75
2ASN	ring_2_BC	0.83
2ASN	ring_3_BC	0.99
2ASN	ring_1_DC	0.73
2ASN	ring_2_DC	0.73
2ASN	ring_3_DC	0.55
3ILE	ring_1_BC	0.7
3ILE	ring_2_BC	0.72
3ILE	ring_3_BC	0.96
3ILE	ring_1_DC	0.97
3ILE	ring_2_DC	0.98
3ILE	ring_3_DC	0.83
