poltype	hbtype	occurence
3VAL	B_7_OT1__C_2_N	0.94
3VAL	B_5_O__C_4_N	0.48
3VAL	B_7_N__C_2_O	0.88
3VAL	B_3_O__C_6_N	0.08
3VAL	B_5_N__C_4_O	0.41
3VAL	B_3_N__C_6_O	0.04
2THR	B_7_OT1__C_2_N	0.73
2THR	B_5_O__C_4_N	0.59
2THR	B_3_N__C_6_O	0.11
2THR	B_7_N__C_2_O	0.69
2THR	B_5_N__C_4_O	0.43
2THR	B_3_O__C_6_N	0.24
1ALAGLY	B_7_OT2__C_2_N	0.59
1ALAGLY	B_5_O__C_4_N	0.54
1ALAGLY	B_3_O__C_6_N	0.46
1ALAGLY	B_7_N__C_2_O	0.86
1ALAGLY	B_5_N__C_4_O	0.58
1ALAGLY	B_3_N__C_6_O	0.29
1ALAGLY	B_7_OT1__C_2_N	0.15
1ALA	B_7_OT2__C_2_N	0.75
1ALA	B_5_O__C_4_N	0.75
1ALA	B_3_O__C_6_N	0.68
1ALA	B_7_N__C_2_O	0.79
1ALA	B_5_N__C_4_O	0.79
1ALA	B_3_N__C_6_O	0.55
1ALA	B_7_OT1__C_2_N	0.04
1GLY	B_7_N__C_2_O	0.63
1GLY	B_5_N__C_4_O	0.33
1GLY	B_7_OT1__C_2_N	0.49
1GLY	B_7_OT2__C_2_N	0.32
1GLY	B_5_O__C_4_N	0.45
1GLY	B_3_O__C_6_N	0.29
1GLY	B_3_N__C_6_O	0.01
1GLY	B_2_N__C_7_OT2	0.01
2ASN	B_7_OT2__C_2_N	0.91
2ASN	B_5_O__C_4_N	0.75
2ASN	B_3_O__C_6_N	0.59
2ASN	B_3_N__C_6_O	0.45
2ASN	B_7_N__C_2_O	0.84
2ASN	B_5_N__C_4_O	0.43
2ASN	B_7_OT1__C_2_N	0.02
3ILE	B_7_OT2__C_2_N	0.57
3ILE	B_5_O__C_4_N	0.61
3ILE	B_3_O__C_6_N	0.54
3ILE	B_7_N__C_2_O	0.84
3ILE	B_5_N__C_4_O	0.65
3ILE	B_3_N__C_6_O	0.41
3ILE	B_7_OT1__C_2_N	0.15
