poltype	hbtype	occurence
3VAL	C_5_N__D_4_O	0.68
3VAL	C_7_N__D_2_O	0.63
3VAL	C_3_O__D_6_N	0.87
3VAL	C_5_O__D_4_N	0.8
3VAL	C_7_OT2__D_2_N	0.63
3VAL	C_3_N__D_6_O	0.61
3VAL	C_2_N__D_7_OT2	0.0
2THR	C_3_N__D_6_O	0.74
2THR	C_5_N__D_4_O	0.33
2THR	C_3_O__D_6_N	0.81
2THR	C_7_OT1__D_2_N	0.63
2THR	C_7_N__D_2_O	0.49
2THR	C_5_O__D_4_N	0.55
2THR	C_2_N__D_7_OT2	0.17
1ALAGLY	C_7_N__D_2_O	0.52
1ALAGLY	C_3_O__D_6_N	0.83
1ALAGLY	C_7_OT1__D_2_N	0.48
1ALAGLY	C_5_O__D_4_N	0.78
1ALAGLY	C_3_N__D_6_O	0.45
1ALAGLY	C_7_OT2__D_2_N	0.23
1ALAGLY	C_5_N__D_4_O	0.55
1ALA	C_3_N__D_6_O	0.58
1ALA	C_5_N__D_4_O	0.5
1ALA	C_3_O__D_6_N	0.88
1ALA	C_5_O__D_4_N	0.7
1ALA	C_7_OT2__D_2_N	0.67
1ALA	C_7_N__D_2_O	0.66
1ALA	C_7_OT1__D_2_N	0.12
1GLY	C_7_N__D_2_O	0.41
1GLY	C_5_O__D_4_N	0.47
1GLY	C_7_OT2__D_2_N	0.48
1GLY	C_5_N__D_4_O	0.43
1GLY	C_3_O__D_6_N	0.5
1GLY	C_7_OT1__D_2_N	0.01
1GLY	C_3_N__D_6_O	0.23
2ASN	C_3_N__D_6_O	0.39
2ASN	C_5_N__D_4_O	0.59
2ASN	C_3_O__D_6_N	0.42
2ASN	C_7_OT2__D_2_N	0.66
2ASN	C_7_N__D_2_O	0.32
2ASN	C_5_O__D_4_N	0.28
2ASN	C_7_OT1__D_2_N	0.0
2ASN	C_2_N__D_7_OT2	0.0
3ILE	C_5_N__D_4_O	0.81
3ILE	C_7_N__D_2_O	0.73
3ILE	C_5_O__D_4_N	0.9
3ILE	C_7_OT1__D_2_N	0.91
3ILE	C_3_N__D_6_O	0.35
3ILE	C_3_O__D_6_N	0.77
