poltype	hbtype	occurence
3VAL	ring_1_BC	0.84
3VAL	ring_2_BC	0.68
3VAL	ring_3_BC	0.0
3VAL	ring_1_DC	0.58
3VAL	ring_2_DC	0.59
3VAL	ring_3_DC	0.23
2THR	ring_1_BC	0.57
2THR	ring_2_BC	0.56
2THR	ring_3_BC	0.0
2THR	ring_1_DC	0.25
2THR	ring_2_DC	0.07
2THR	ring_3_DC	0.18
1ALAGLY	ring_1_BC	0.61
1ALAGLY	ring_2_BC	0.45
1ALAGLY	ring_3_BC	0.0
1ALAGLY	ring_1_DC	0.35
1ALAGLY	ring_2_DC	0.36
1ALAGLY	ring_3_DC	0.31
1ALA	ring_1_BC	0.71
1ALA	ring_2_BC	0.6
1ALA	ring_3_BC	0.0
1ALA	ring_1_DC	0.43
1ALA	ring_2_DC	0.5
1ALA	ring_3_DC	0.39
1GLY	ring_1_BC	0.61
1GLY	ring_2_BC	0.36
1GLY	ring_3_BC	0.0
1GLY	ring_1_DC	0.23
1GLY	ring_2_DC	0.32
1GLY	ring_3_DC	0.3
2ASN	ring_1_BC	0.71
2ASN	ring_2_BC	0.29
2ASN	ring_3_BC	0.0
2ASN	ring_1_DC	0.62
2ASN	ring_2_DC	0.4
2ASN	ring_3_DC	0.05
3ILE	ring_1_BC	0.78
3ILE	ring_2_BC	0.27
3ILE	ring_3_BC	0.0
3ILE	ring_1_DC	0.04
3ILE	ring_2_DC	0.62
3ILE	ring_3_DC	0.57
