poltype	hbtype	occurence
3VAL	B_7_OT1__C_2_N	0.93
3VAL	B_5_O__C_4_N	0.74
3VAL	B_3_O__C_6_N	0.43
3VAL	B_7_N__C_2_O	0.9
3VAL	B_5_N__C_4_O	0.88
3VAL	B_3_N__C_6_O	0.26
3VAL	B_2_N__C_7_OT2	0.01
3VAL	B_7_OT2__C_2_N	0.0
2THR	B_7_OT1__C_2_N	0.68
2THR	B_5_O__C_4_N	0.76
2THR	B_3_O__C_6_N	0.62
2THR	B_7_N__C_2_O	0.78
2THR	B_3_N__C_6_O	0.41
2THR	B_5_N__C_4_O	0.64
1ALAGLY	B_7_OT1__C_2_N	0.69
1ALAGLY	B_5_O__C_4_N	0.58
1ALAGLY	B_3_O__C_6_N	0.56
1ALAGLY	B_7_N__C_2_O	0.86
1ALAGLY	B_5_N__C_4_O	0.68
1ALAGLY	B_3_N__C_6_O	0.33
1ALAGLY	B_7_OT2__C_2_N	0.0
1ALA	B_7_OT2__C_2_N	0.82
1ALA	B_5_O__C_4_N	0.79
1ALA	B_3_O__C_6_N	0.67
1ALA	B_3_N__C_6_O	0.47
1ALA	B_7_N__C_2_O	0.83
1ALA	B_5_N__C_4_O	0.74
1ALA	B_7_OT1__C_2_N	0.04
1GLY	B_7_OT1__C_2_N	0.83
1GLY	B_3_O__C_6_N	0.45
1GLY	B_7_N__C_2_O	0.75
1GLY	B_5_N__C_4_O	0.57
1GLY	B_3_N__C_6_O	0.28
1GLY	B_5_O__C_4_N	0.55
2ASN	B_7_OT1__C_2_N	0.69
2ASN	B_5_O__C_4_N	0.52
2ASN	B_3_O__C_6_N	0.27
2ASN	B_7_N__C_2_O	0.74
2ASN	B_3_N__C_6_O	0.46
2ASN	B_5_N__C_4_O	0.48
2ASN	B_7_OT2__C_2_N	0.27
3ILE	B_7_OT1__C_2_N	0.93
3ILE	B_5_O__C_4_N	0.42
3ILE	B_3_O__C_6_N	0.44
3ILE	B_7_N__C_2_O	0.83
3ILE	B_5_N__C_4_O	0.33
3ILE	B_3_N__C_6_O	0.37
