poltype	hbtype	occurence
3VAL	C_3_N__D_6_O	0.65
3VAL	C_5_N__D_4_O	0.71
3VAL	C_3_O__D_6_N	0.86
3VAL	C_5_O__D_4_N	0.75
3VAL	C_7_N__D_2_O	0.41
3VAL	C_7_OT1__D_2_N	0.27
3VAL	C_2_N__D_7_OT2	0.07
2THR	C_7_N__D_2_O	0.23
2THR	C_3_O__D_6_N	0.54
2THR	C_7_OT1__D_2_N	0.41
2THR	C_3_N__D_6_O	0.4
2THR	C_5_N__D_4_O	0.16
2THR	C_2_N__D_7_OT2	0.05
2THR	C_5_O__D_4_N	0.18
2THR	C_2_N__D_7_OT1	0.0
1ALAGLY	C_3_N__D_6_O	0.44
1ALAGLY	C_7_N__D_2_O	0.38
1ALAGLY	C_3_O__D_6_N	0.73
1ALAGLY	C_7_OT2__D_2_N	0.28
1ALAGLY	C_5_O__D_4_N	0.61
1ALAGLY	C_5_N__D_4_O	0.47
1ALAGLY	C_7_OT1__D_2_N	0.28
1ALA	C_3_N__D_6_O	0.5
1ALA	C_7_N__D_2_O	0.55
1ALA	C_7_OT1__D_2_N	0.62
1ALA	C_5_N__D_4_O	0.62
1ALA	C_3_O__D_6_N	0.81
1ALA	C_5_O__D_4_N	0.75
1ALA	C_7_OT2__D_2_N	0.0
1GLY	C_5_N__D_4_O	0.52
1GLY	C_7_N__D_2_O	0.58
1GLY	C_3_O__D_6_N	0.46
1GLY	C_5_O__D_4_N	0.53
1GLY	C_3_N__D_6_O	0.41
1GLY	C_7_OT2__D_2_N	0.36
1GLY	C_7_OT1__D_2_N	0.05
2ASN	C_3_N__D_6_O	0.67
2ASN	C_7_N__D_2_O	0.19
2ASN	C_3_O__D_6_N	0.92
2ASN	C_5_O__D_4_N	0.58
2ASN	C_7_OT1__D_2_N	0.27
2ASN	C_5_N__D_4_O	0.67
2ASN	C_7_OT2__D_2_N	0.0
3ILE	C_5_N__D_4_O	0.74
3ILE	C_7_N__D_2_O	0.63
3ILE	C_5_O__D_4_N	0.84
3ILE	C_7_OT2__D_2_N	0.69
3ILE	C_3_O__D_6_N	0.26
3ILE	C_3_N__D_6_O	0.06
3ILE	C_7_OT1__D_2_N	0.0
3ILE	C_2_N__D_7_OT2	0.08
