poltype	hbtype	occurence
3VAL	ring_1_BC	0.73
3VAL	ring_2_BC	0.72
3VAL	ring_3_BC	0.0
3VAL	ring_1_DC	0.39
3VAL	ring_2_DC	0.6
3VAL	ring_3_DC	0.1
2THR	ring_1_BC	0.28
2THR	ring_2_BC	0.19
2THR	ring_3_BC	0.0
2THR	ring_1_DC	0.09
2THR	ring_2_DC	0.06
2THR	ring_3_DC	0.29
1ALAGLY	ring_1_BC	0.71
1ALAGLY	ring_2_BC	0.47
1ALAGLY	ring_3_BC	0.0
1ALAGLY	ring_1_DC	0.35
1ALAGLY	ring_2_DC	0.34
1ALAGLY	ring_3_DC	0.47
1ALA	ring_1_BC	0.73
1ALA	ring_2_BC	0.62
1ALA	ring_3_BC	0.0
1ALA	ring_1_DC	0.56
1ALA	ring_2_DC	0.52
1ALA	ring_3_DC	0.47
1GLY	ring_1_BC	0.06
1GLY	ring_2_BC	0.25
1GLY	ring_3_BC	0.0
1GLY	ring_1_DC	0.06
1GLY	ring_2_DC	0.23
1GLY	ring_3_DC	0.35
2ASN	ring_1_BC	0.47
2ASN	ring_2_BC	0.68
2ASN	ring_3_BC	0.0
2ASN	ring_1_DC	0.61
2ASN	ring_2_DC	0.39
2ASN	ring_3_DC	0.48
3ILE	ring_1_BC	0.6
3ILE	ring_2_BC	0.39
3ILE	ring_3_BC	0.0
3ILE	ring_1_DC	0.62
3ILE	ring_2_DC	0.7
3ILE	ring_3_DC	0.7
