poltype	hbtype	occurence
3VAL	ring_1_BC	0.98
3VAL	ring_2_BC	0.96
3VAL	ring_3_BC	0.43
3VAL	ring_1_DC	0.76
3VAL	ring_2_DC	0.8
3VAL	ring_3_DC	0.17
2THR	ring_1_BC	0.37
2THR	ring_2_BC	0.49
2THR	ring_3_BC	0.13
2THR	ring_1_DC	0.35
2THR	ring_2_DC	0.23
2THR	ring_3_DC	0.44
1ALAGLY	ring_1_BC	0.97
1ALAGLY	ring_2_BC	0.88
1ALAGLY	ring_3_BC	0.59
1ALAGLY	ring_1_DC	0.82
1ALAGLY	ring_2_DC	0.72
1ALAGLY	ring_3_DC	0.83
1ALA	ring_1_BC	0.98
1ALA	ring_2_BC	0.92
1ALA	ring_3_BC	0.69
1ALA	ring_1_DC	0.93
1ALA	ring_2_DC	0.87
1ALA	ring_3_DC	0.78
1GLY	ring_1_BC	0.83
1GLY	ring_2_BC	0.67
1GLY	ring_3_BC	0.44
1GLY	ring_1_DC	0.56
1GLY	ring_2_DC	0.64
1GLY	ring_3_DC	0.74
2ASN	ring_1_BC	0.89
2ASN	ring_2_BC	0.94
2ASN	ring_3_BC	0.33
2ASN	ring_1_DC	0.96
2ASN	ring_2_DC	0.78
2ASN	ring_3_DC	0.67
3ILE	ring_1_BC	0.95
3ILE	ring_2_BC	0.61
3ILE	ring_3_BC	0.2
3ILE	ring_1_DC	0.95
3ILE	ring_2_DC	0.97
3ILE	ring_3_DC	0.96
