poltype	hbtype	occurence
3VAL	B_7_OT1__C_2_N	0.86
3VAL	B_5_O__C_4_N	0.79
3VAL	B_7_N__C_2_O	0.85
3VAL	B_5_N__C_4_O	0.88
3VAL	B_3_O__C_6_N	0.43
3VAL	B_3_N__C_6_O	0.34
2THR	B_3_N__C_6_O	0.32
2THR	B_7_OT1__C_2_N	0.21
2THR	B_5_O__C_4_N	0.34
2THR	B_3_O__C_6_N	0.13
2THR	B_7_N__C_2_O	0.34
2THR	B_5_N__C_4_O	0.34
2THR	B_7_OT2__C_2_N	0.1
1ALAGLY	B_7_OT1__C_2_N	0.74
1ALAGLY	B_3_O__C_6_N	0.59
1ALAGLY	B_7_N__C_2_O	0.89
1ALAGLY	B_5_O__C_4_N	0.68
1ALAGLY	B_5_N__C_4_O	0.67
1ALAGLY	B_7_OT2__C_2_N	0.04
1ALAGLY	B_3_N__C_6_O	0.27
1ALA	B_7_OT2__C_2_N	0.8
1ALA	B_5_O__C_4_N	0.76
1ALA	B_3_O__C_6_N	0.69
1ALA	B_7_N__C_2_O	0.87
1ALA	B_3_N__C_6_O	0.49
1ALA	B_5_N__C_4_O	0.78
1ALA	B_7_OT1__C_2_N	0.04
1GLY	B_7_OT2__C_2_N	0.23
1GLY	B_3_O__C_6_N	0.44
1GLY	B_7_OT1__C_2_N	0.6
1GLY	B_5_O__C_4_N	0.5
1GLY	B_5_N__C_4_O	0.43
1GLY	B_3_N__C_6_O	0.17
1GLY	B_7_N__C_2_O	0.07
2ASN	B_7_OT2__C_2_N	0.66
2ASN	B_7_N__C_2_O	0.71
2ASN	B_5_N__C_4_O	0.88
2ASN	B_5_O__C_4_N	0.75
2ASN	B_3_O__C_6_N	0.33
2ASN	B_3_N__C_6_O	0.37
2ASN	B_7_OT1__C_2_N	0.0
2ASN	B_2_N__C_7_OT2	0.04
3ILE	B_7_OT1__C_2_N	0.87
3ILE	B_5_N__C_4_O	0.47
3ILE	B_5_O__C_4_N	0.53
3ILE	B_7_N__C_2_O	0.68
3ILE	B_3_N__C_6_O	0.03
3ILE	B_3_O__C_6_N	0.2
3ILE	B_7_N__C_2_N	0.0
