poltype	hbtype	occurence
3VAL	C_3_N__D_6_O	0.43
3VAL	C_5_N__D_4_O	0.66
3VAL	C_3_O__D_6_N	0.73
3VAL	C_5_O__D_4_N	0.75
3VAL	C_7_N__D_2_O	0.16
3VAL	C_7_OT1__D_2_N	0.12
2THR	C_7_N__D_2_O	0.37
2THR	C_3_O__D_6_N	0.24
2THR	C_7_OT1__D_2_N	0.37
2THR	C_3_N__D_6_O	0.19
2THR	C_5_N__D_4_O	0.11
2THR	C_5_O__D_4_N	0.18
1ALAGLY	C_3_N__D_6_O	0.46
1ALAGLY	C_7_N__D_2_O	0.58
1ALAGLY	C_3_O__D_6_N	0.72
1ALAGLY	C_7_OT2__D_2_N	0.3
1ALAGLY	C_5_N__D_4_O	0.47
1ALAGLY	C_5_O__D_4_N	0.58
1ALAGLY	C_7_OT1__D_2_N	0.42
1ALA	C_5_N__D_4_O	0.61
1ALA	C_7_N__D_2_O	0.62
1ALA	C_3_O__D_6_N	0.88
1ALA	C_5_O__D_4_N	0.78
1ALA	C_7_OT1__D_2_N	0.63
1ALA	C_3_N__D_6_O	0.62
1ALA	C_7_OT2__D_2_N	0.0
1GLY	C_5_N__D_4_O	0.49
1GLY	C_7_N__D_2_O	0.61
1GLY	C_7_OT2__D_2_N	0.34
1GLY	C_3_O__D_6_N	0.49
1GLY	C_7_OT1__D_2_N	0.13
1GLY	C_5_O__D_4_N	0.38
1GLY	C_3_N__D_6_O	0.13
2ASN	C_3_N__D_6_O	0.68
2ASN	C_5_N__D_4_O	0.48
2ASN	C_7_N__D_2_O	0.55
2ASN	C_3_O__D_6_N	0.89
2ASN	C_5_O__D_4_N	0.69
2ASN	C_7_OT2__D_2_N	0.41
2ASN	C_7_OT1__D_2_N	0.19
3ILE	C_3_N__D_6_O	0.67
3ILE	C_5_N__D_4_O	0.76
3ILE	C_7_N__D_2_O	0.75
3ILE	C_5_O__D_4_N	0.91
3ILE	C_7_OT1__D_2_N	0.64
3ILE	C_3_O__D_6_N	0.9
3ILE	C_7_OT2__D_2_N	0.27
