frame	poltype	hbname	hstability	hbval
0	3VAL	SuperRing_1	0.8-1.0	-1
10	3VAL	SuperRing_1	0.8-1.0	1
20	3VAL	SuperRing_1	0.8-1.0	1
30	3VAL	SuperRing_1	0.8-1.0	1
40	3VAL	SuperRing_1	0.8-1.0	1
50	3VAL	SuperRing_1	0.8-1.0	1
60	3VAL	SuperRing_1	0.8-1.0	1
70	3VAL	SuperRing_1	0.8-1.0	1
80	3VAL	SuperRing_1	0.8-1.0	1
90	3VAL	SuperRing_1	0.8-1.0	1
100	3VAL	SuperRing_1	0.8-1.0	1
110	3VAL	SuperRing_1	0.8-1.0	1
120	3VAL	SuperRing_1	0.8-1.0	1
130	3VAL	SuperRing_1	0.8-1.0	1
140	3VAL	SuperRing_1	0.8-1.0	1
150	3VAL	SuperRing_1	0.8-1.0	1
160	3VAL	SuperRing_1	0.8-1.0	1
170	3VAL	SuperRing_1	0.8-1.0	1
180	3VAL	SuperRing_1	0.8-1.0	1
190	3VAL	SuperRing_1	0.8-1.0	1
200	3VAL	SuperRing_1	0.8-1.0	1
210	3VAL	SuperRing_1	0.8-1.0	1
220	3VAL	SuperRing_1	0.8-1.0	1
230	3VAL	SuperRing_1	0.8-1.0	1
240	3VAL	SuperRing_1	0.8-1.0	1
250	3VAL	SuperRing_1	0.8-1.0	1
260	3VAL	SuperRing_1	0.8-1.0	1
270	3VAL	SuperRing_1	0.8-1.0	1
280	3VAL	SuperRing_1	0.8-1.0	1
290	3VAL	SuperRing_1	0.8-1.0	1
300	3VAL	SuperRing_1	0.8-1.0	1
310	3VAL	SuperRing_1	0.8-1.0	1
320	3VAL	SuperRing_1	0.8-1.0	1
330	3VAL	SuperRing_1	0.8-1.0	1
340	3VAL	SuperRing_1	0.8-1.0	1
350	3VAL	SuperRing_1	0.8-1.0	1
360	3VAL	SuperRing_1	0.8-1.0	1
370	3VAL	SuperRing_1	0.8-1.0	1
380	3VAL	SuperRing_1	0.8-1.0	1
390	3VAL	SuperRing_1	0.8-1.0	1
400	3VAL	SuperRing_1	0.8-1.0	1
410	3VAL	SuperRing_1	0.8-1.0	1
420	3VAL	SuperRing_1	0.8-1.0	1
430	3VAL	SuperRing_1	0.8-1.0	1
440	3VAL	SuperRing_1	0.8-1.0	1
450	3VAL	SuperRing_1	0.8-1.0	1
460	3VAL	SuperRing_1	0.8-1.0	1
470	3VAL	SuperRing_1	0.8-1.0	1
480	3VAL	SuperRing_1	0.8-1.0	1
490	3VAL	SuperRing_1	0.8-1.0	1
500	3VAL	SuperRing_1	0.8-1.0	1
510	3VAL	SuperRing_1	0.8-1.0	1
520	3VAL	SuperRing_1	0.8-1.0	1
530	3VAL	SuperRing_1	0.8-1.0	1
540	3VAL	SuperRing_1	0.8-1.0	1
550	3VAL	SuperRing_1	0.8-1.0	1
560	3VAL	SuperRing_1	0.8-1.0	1
570	3VAL	SuperRing_1	0.8-1.0	1
580	3VAL	SuperRing_1	0.8-1.0	1
590	3VAL	SuperRing_1	0.8-1.0	1
600	3VAL	SuperRing_1	0.8-1.0	1
610	3VAL	SuperRing_1	0.8-1.0	1
620	3VAL	SuperRing_1	0.8-1.0	1
630	3VAL	SuperRing_1	0.8-1.0	1
640	3VAL	SuperRing_1	0.8-1.0	1
650	3VAL	SuperRing_1	0.8-1.0	1
660	3VAL	SuperRing_1	0.8-1.0	1
670	3VAL	SuperRing_1	0.8-1.0	1
680	3VAL	SuperRing_1	0.8-1.0	1
690	3VAL	SuperRing_1	0.8-1.0	1
700	3VAL	SuperRing_1	0.8-1.0	1
710	3VAL	SuperRing_1	0.8-1.0	1
720	3VAL	SuperRing_1	0.8-1.0	1
730	3VAL	SuperRing_1	0.8-1.0	1
740	3VAL	SuperRing_1	0.8-1.0	1
750	3VAL	SuperRing_1	0.8-1.0	1
760	3VAL	SuperRing_1	0.8-1.0	1
770	3VAL	SuperRing_1	0.8-1.0	1
780	3VAL	SuperRing_1	0.8-1.0	1
790	3VAL	SuperRing_1	0.8-1.0	1
800	3VAL	SuperRing_1	0.8-1.0	1
810	3VAL	SuperRing_1	0.8-1.0	1
820	3VAL	SuperRing_1	0.8-1.0	1
830	3VAL	SuperRing_1	0.8-1.0	1
840	3VAL	SuperRing_1	0.8-1.0	1
850	3VAL	SuperRing_1	0.8-1.0	1
860	3VAL	SuperRing_1	0.8-1.0	1
870	3VAL	SuperRing_1	0.8-1.0	1
880	3VAL	SuperRing_1	0.8-1.0	1
890	3VAL	SuperRing_1	0.8-1.0	1
900	3VAL	SuperRing_1	0.8-1.0	1
910	3VAL	SuperRing_1	0.8-1.0	1
920	3VAL	SuperRing_1	0.8-1.0	1
930	3VAL	SuperRing_1	0.8-1.0	1
940	3VAL	SuperRing_1	0.8-1.0	1
950	3VAL	SuperRing_1	0.8-1.0	1
960	3VAL	SuperRing_1	0.8-1.0	1
970	3VAL	SuperRing_1	0.8-1.0	1
980	3VAL	SuperRing_1	0.8-1.0	1
990	3VAL	SuperRing_1	0.8-1.0	1
1000	3VAL	SuperRing_1	0.8-1.0	1
1010	3VAL	SuperRing_1	0.8-1.0	1
1020	3VAL	SuperRing_1	0.8-1.0	1
1030	3VAL	SuperRing_1	0.8-1.0	1
1040	3VAL	SuperRing_1	0.8-1.0	1
1050	3VAL	SuperRing_1	0.8-1.0	1
1060	3VAL	SuperRing_1	0.8-1.0	1
1070	3VAL	SuperRing_1	0.8-1.0	1
1080	3VAL	SuperRing_1	0.8-1.0	1
1090	3VAL	SuperRing_1	0.8-1.0	1
1100	3VAL	SuperRing_1	0.8-1.0	1
1110	3VAL	SuperRing_1	0.8-1.0	1
1120	3VAL	SuperRing_1	0.8-1.0	1
1130	3VAL	SuperRing_1	0.8-1.0	1
1140	3VAL	SuperRing_1	0.8-1.0	1
1150	3VAL	SuperRing_1	0.8-1.0	1
1160	3VAL	SuperRing_1	0.8-1.0	1
1170	3VAL	SuperRing_1	0.8-1.0	1
1180	3VAL	SuperRing_1	0.8-1.0	1
1190	3VAL	SuperRing_1	0.8-1.0	1
1200	3VAL	SuperRing_1	0.8-1.0	1
1210	3VAL	SuperRing_1	0.8-1.0	1
1220	3VAL	SuperRing_1	0.8-1.0	1
1230	3VAL	SuperRing_1	0.8-1.0	1
1240	3VAL	SuperRing_1	0.8-1.0	1
1250	3VAL	SuperRing_1	0.8-1.0	1
1260	3VAL	SuperRing_1	0.8-1.0	1
1270	3VAL	SuperRing_1	0.8-1.0	1
1280	3VAL	SuperRing_1	0.8-1.0	1
1290	3VAL	SuperRing_1	0.8-1.0	1
1300	3VAL	SuperRing_1	0.8-1.0	1
1310	3VAL	SuperRing_1	0.8-1.0	1
1320	3VAL	SuperRing_1	0.8-1.0	1
1330	3VAL	SuperRing_1	0.8-1.0	1
1340	3VAL	SuperRing_1	0.8-1.0	1
1350	3VAL	SuperRing_1	0.8-1.0	1
1360	3VAL	SuperRing_1	0.8-1.0	1
1370	3VAL	SuperRing_1	0.8-1.0	1
1380	3VAL	SuperRing_1	0.8-1.0	1
1390	3VAL	SuperRing_1	0.8-1.0	1
1400	3VAL	SuperRing_1	0.8-1.0	1
1410	3VAL	SuperRing_1	0.8-1.0	1
1420	3VAL	SuperRing_1	0.8-1.0	1
1430	3VAL	SuperRing_1	0.8-1.0	1
1440	3VAL	SuperRing_1	0.8-1.0	1
1450	3VAL	SuperRing_1	0.8-1.0	1
1460	3VAL	SuperRing_1	0.8-1.0	1
1470	3VAL	SuperRing_1	0.8-1.0	1
1480	3VAL	SuperRing_1	0.8-1.0	1
