poltype	hbtype	occurence
3VAL	ring_1_BC	0.99
3VAL	ring_2_BC	0.56
3VAL	ring_3_BC	0.08
3VAL	ring_1_DC	0.94
3VAL	ring_2_DC	0.85
3VAL	ring_3_DC	0.81
2THR	ring_1_BC	0.9
2THR	ring_2_BC	0.67
2THR	ring_3_BC	0.24
2THR	ring_1_DC	0.93
2THR	ring_2_DC	0.65
2THR	ring_3_DC	0.83
1ALAGLY	ring_1_BC	0.95
1ALAGLY	ring_2_BC	0.73
1ALAGLY	ring_3_BC	0.46
1ALAGLY	ring_1_DC	0.9
1ALAGLY	ring_2_DC	0.87
1ALAGLY	ring_3_DC	0.84
1ALA	ring_1_BC	0.96
1ALA	ring_2_BC	0.93
1ALA	ring_3_BC	0.68
1ALA	ring_1_DC	0.93
1ALA	ring_2_DC	0.81
1ALA	ring_3_DC	0.87
1GLY	ring_1_BC	0.93
1GLY	ring_2_BC	0.58
1GLY	ring_3_BC	0.29
1GLY	ring_1_DC	0.6
1GLY	ring_2_DC	0.67
1GLY	ring_3_DC	0.65
2ASN	ring_1_BC	0.99
2ASN	ring_2_BC	0.83
2ASN	ring_3_BC	0.59
2ASN	ring_1_DC	0.55
2ASN	ring_2_DC	0.73
2ASN	ring_3_DC	0.73
3ILE	ring_1_BC	0.96
3ILE	ring_2_BC	0.72
3ILE	ring_3_BC	0.54
3ILE	ring_1_DC	0.83
3ILE	ring_2_DC	0.98
3ILE	ring_3_DC	0.97
