poltype	hbtype	occurence
3VAL	ring_1_BC	0.81
3VAL	ring_2_BC	0.64
3VAL	ring_3_BC	0.21
3VAL	ring_1_DC	0.55
3VAL	ring_2_DC	0.55
3VAL	ring_3_DC	0.49
2THR	ring_1_BC	0.6
2THR	ring_2_BC	0.56
2THR	ring_3_BC	0.47
2THR	ring_1_DC	0.26
2THR	ring_2_DC	0.12
2THR	ring_3_DC	0.23
1ALAGLY	ring_1_BC	0.56
1ALAGLY	ring_2_BC	0.48
1ALAGLY	ring_3_BC	0.42
1ALAGLY	ring_1_DC	0.38
1ALAGLY	ring_2_DC	0.36
1ALAGLY	ring_3_DC	0.5
1ALA	ring_1_BC	0.7
1ALA	ring_2_BC	0.62
1ALA	ring_3_BC	0.56
1ALA	ring_1_DC	0.47
1ALA	ring_2_DC	0.52
1ALA	ring_3_DC	0.51
1GLY	ring_1_BC	0.01
1GLY	ring_2_BC	0.27
1GLY	ring_3_BC	0.26
1GLY	ring_1_DC	0.0
1GLY	ring_2_DC	0.29
1GLY	ring_3_DC	0.49
2ASN	ring_1_BC	0.77
2ASN	ring_2_BC	0.45
2ASN	ring_3_BC	0.4
2ASN	ring_1_DC	0.62
2ASN	ring_2_DC	0.28
2ASN	ring_3_DC	0.19
3ILE	ring_1_BC	0.82
3ILE	ring_2_BC	0.54
3ILE	ring_3_BC	0.41
3ILE	ring_1_DC	0.38
3ILE	ring_2_DC	0.73
3ILE	ring_3_DC	0.52
