poltype	hbtype	occurence
3VAL	ring_1_BC	0.99
3VAL	ring_2_BC	0.93
3VAL	ring_3_BC	0.87
3VAL	ring_1_DC	0.95
3VAL	ring_2_DC	0.82
3VAL	ring_3_DC	0.69
2THR	ring_1_BC	0.88
2THR	ring_2_BC	0.92
2THR	ring_3_BC	0.87
2THR	ring_1_DC	0.74
2THR	ring_2_DC	0.41
2THR	ring_3_DC	0.68
1ALAGLY	ring_1_BC	0.95
1ALAGLY	ring_2_BC	0.87
1ALAGLY	ring_3_BC	0.84
1ALAGLY	ring_1_DC	0.86
1ALAGLY	ring_2_DC	0.77
1ALAGLY	ring_3_DC	0.85
1ALA	ring_1_BC	0.97
1ALA	ring_2_BC	0.95
1ALA	ring_3_BC	0.93
1ALA	ring_1_DC	0.92
1ALA	ring_2_DC	0.9
1ALA	ring_3_DC	0.88
1GLY	ring_1_BC	0.77
1GLY	ring_2_BC	0.69
1GLY	ring_3_BC	0.69
1GLY	ring_1_DC	0.57
1GLY	ring_2_DC	0.71
1GLY	ring_3_DC	0.84
2ASN	ring_1_BC	0.99
2ASN	ring_2_BC	0.87
2ASN	ring_3_BC	0.85
2ASN	ring_1_DC	0.97
2ASN	ring_2_DC	0.64
2ASN	ring_3_DC	0.35
3ILE	ring_1_BC	0.99
3ILE	ring_2_BC	0.86
3ILE	ring_3_BC	0.85
3ILE	ring_1_DC	0.7
3ILE	ring_2_DC	0.97
3ILE	ring_3_DC	0.75
