poltype	hbtype	occurence
3VAL	C_3_N__D_6_O	0.59
3VAL	C_3_O__D_6_N	0.9
3VAL	C_5_N__D_4_O	0.64
3VAL	C_7_N__D_2_O	0.63
3VAL	C_5_O__D_4_N	0.74
3VAL	C_7_OT1__D_2_N	0.55
3VAL	C_2_N__D_7_OT2	0.03
3VAL	C_7_OT2__D_2_N	0.0
2THR	C_3_N__D_6_O	0.38
2THR	C_5_N__D_4_O	0.26
2THR	C_7_N__D_2_O	0.32
2THR	C_3_O__D_6_N	0.62
2THR	C_7_OT1__D_2_N	0.59
2THR	C_5_O__D_4_N	0.27
2THR	C_2_N__D_7_OT2	0.11
2THR	C_2_N__D_7_OT1	0.0
1ALAGLY	C_3_O__D_6_N	0.77
1ALAGLY	C_5_O__D_4_N	0.63
1ALAGLY	C_7_OT1__D_2_N	0.46
1ALAGLY	C_3_N__D_6_O	0.47
1ALAGLY	C_7_N__D_2_O	0.62
1ALAGLY	C_5_N__D_4_O	0.51
1ALAGLY	C_7_OT2__D_2_N	0.27
1ALAGLY	C_2_N__D_7_OT2	0.0
1ALA	C_5_N__D_4_O	0.64
1ALA	C_7_N__D_2_O	0.69
1ALA	C_3_O__D_6_N	0.87
1ALA	C_7_OT2__D_2_N	0.37
1ALA	C_3_N__D_6_O	0.53
1ALA	C_5_O__D_4_N	0.78
1ALA	C_7_OT1__D_2_N	0.33
1GLY	C_7_N__D_2_O	0.69
1GLY	C_3_O__D_6_N	0.56
1GLY	C_7_OT1__D_2_N	0.36
1GLY	C_5_N__D_4_O	0.56
1GLY	C_5_O__D_4_N	0.44
1GLY	C_7_OT2__D_2_N	0.28
1GLY	C_3_N__D_6_O	0.0
1GLY	C_2_N__D_7_OT1	0.0
2ASN	C_3_N__D_6_O	0.66
2ASN	C_3_O__D_6_N	0.93
2ASN	C_5_O__D_4_N	0.48
2ASN	C_5_N__D_4_O	0.44
2ASN	C_7_N__D_2_O	0.28
2ASN	C_7_OT2__D_2_N	0.15
2ASN	C_7_OT1__D_2_N	0.12
2ASN	C_2_N__D_7_OT1	0.0
2ASN	C_2_N__D_7_OT2	0.0
3ILE	C_3_N__D_6_O	0.42
3ILE	C_3_O__D_6_N	0.66
3ILE	C_5_O__D_4_N	0.85
3ILE	C_5_N__D_4_O	0.85
3ILE	C_7_N__D_2_O	0.61
3ILE	C_7_OT1__D_2_N	0.46
3ILE	C_7_OT2__D_2_N	0.2
