poltype	hbtype	occurence
3VAL	ring_1_BC	0.79
3VAL	ring_2_BC	0.62
3VAL	ring_3_BC	0.43
3VAL	ring_1_DC	0.68
3VAL	ring_2_DC	0.68
3VAL	ring_3_DC	0.14
2THR	ring_1_BC	0.56
2THR	ring_2_BC	0.45
2THR	ring_3_BC	0.18
2THR	ring_1_DC	0.19
2THR	ring_2_DC	0.09
2THR	ring_3_DC	0.26
1ALAGLY	ring_1_BC	0.56
1ALAGLY	ring_2_BC	0.48
1ALAGLY	ring_3_BC	0.42
1ALAGLY	ring_1_DC	0.38
1ALAGLY	ring_2_DC	0.36
1ALAGLY	ring_3_DC	0.5
1ALA	ring_1_BC	0.72
1ALA	ring_2_BC	0.62
1ALA	ring_3_BC	0.56
1ALA	ring_1_DC	0.56
1ALA	ring_2_DC	0.52
1ALA	ring_3_DC	0.4
1GLY	ring_1_BC	0.01
1GLY	ring_2_BC	0.27
1GLY	ring_3_BC	0.26
1GLY	ring_1_DC	0.0
1GLY	ring_2_DC	0.29
1GLY	ring_3_DC	0.49
2ASN	ring_1_BC	0.61
2ASN	ring_2_BC	0.69
2ASN	ring_3_BC	0.3
2ASN	ring_1_DC	0.63
2ASN	ring_2_DC	0.31
2ASN	ring_3_DC	0.4
3ILE	ring_1_BC	0.67
3ILE	ring_2_BC	0.55
3ILE	ring_3_BC	0.11
3ILE	ring_1_DC	0.37
3ILE	ring_2_DC	0.74
3ILE	ring_3_DC	0.67
