poltype	hbtype	occurence
3VAL	ring_1_BC	0.99
3VAL	ring_2_BC	0.81
3VAL	ring_3_BC	0.74
3VAL	ring_1_DC	0.95
3VAL	ring_2_DC	0.93
3VAL	ring_3_DC	0.22
2THR	ring_1_BC	0.84
2THR	ring_2_BC	0.85
2THR	ring_3_BC	0.74
2THR	ring_1_DC	0.55
2THR	ring_2_DC	0.43
2THR	ring_3_DC	0.5
1ALAGLY	ring_1_BC	0.95
1ALAGLY	ring_2_BC	0.87
1ALAGLY	ring_3_BC	0.84
1ALAGLY	ring_1_DC	0.86
1ALAGLY	ring_2_DC	0.77
1ALAGLY	ring_3_DC	0.85
1ALA	ring_1_BC	0.98
1ALA	ring_2_BC	0.94
1ALA	ring_3_BC	0.92
1ALA	ring_1_DC	0.95
1ALA	ring_2_DC	0.88
1ALA	ring_3_DC	0.65
1GLY	ring_1_BC	0.77
1GLY	ring_2_BC	0.69
1GLY	ring_3_BC	0.69
1GLY	ring_1_DC	0.57
1GLY	ring_2_DC	0.71
1GLY	ring_3_DC	0.84
2ASN	ring_1_BC	0.94
2ASN	ring_2_BC	0.94
2ASN	ring_3_BC	0.89
2ASN	ring_1_DC	0.96
2ASN	ring_2_DC	0.67
2ASN	ring_3_DC	0.57
3ILE	ring_1_BC	0.97
3ILE	ring_2_BC	0.86
3ILE	ring_3_BC	0.67
3ILE	ring_1_DC	0.76
3ILE	ring_2_DC	0.98
3ILE	ring_3_DC	0.94
