poltype	hbtype	occurence
3VAL	B_7_OT2__C_2_N	0.27
3VAL	B_5_N__C_4_O	0.71
3VAL	B_3_N__C_6_O	0.38
3VAL	B_5_O__C_4_N	0.71
3VAL	B_7_N__C_2_O	0.86
3VAL	B_7_OT1__C_2_N	0.64
3VAL	B_3_O__C_6_N	0.46
3VAL	B_2_N__C_7_OT2	0.0
2THR	B_7_OT1__C_2_N	0.76
2THR	B_5_O__C_4_N	0.63
2THR	B_3_O__C_6_N	0.25
2THR	B_7_N__C_2_O	0.64
2THR	B_5_N__C_4_O	0.67
2THR	B_3_N__C_6_O	0.43
2THR	B_2_N__C_7_OT2	0.0
1ALAGLY	B_5_O__C_4_N	0.68
1ALAGLY	B_7_N__C_2_O	0.89
1ALAGLY	B_7_OT1__C_2_N	0.41
1ALAGLY	B_3_O__C_6_N	0.6
1ALAGLY	B_5_N__C_4_O	0.67
1ALAGLY	B_3_N__C_6_O	0.26
1ALAGLY	B_7_OT2__C_2_N	0.22
1ALA	B_5_O__C_4_N	0.76
1ALA	B_3_N__C_6_O	0.51
1ALA	B_7_OT2__C_2_N	0.84
1ALA	B_3_O__C_6_N	0.68
1ALA	B_7_N__C_2_O	0.84
1ALA	B_5_N__C_4_O	0.8
1ALA	B_7_OT1__C_2_N	0.02
1ALA	B_2_N__C_7_OT2	0.0
1GLY	B_7_OT2__C_2_N	0.37
1GLY	B_5_O__C_4_N	0.48
1GLY	B_3_O__C_6_N	0.48
1GLY	B_5_N__C_4_O	0.48
1GLY	B_7_OT1__C_2_N	0.41
1GLY	B_3_N__C_6_O	0.18
1GLY	B_7_N__C_2_O	0.01
2ASN	B_7_OT2__C_2_N	0.27
2ASN	B_5_O__C_4_N	0.78
2ASN	B_7_N__C_2_O	0.74
2ASN	B_5_N__C_4_O	0.85
2ASN	B_2_N__C_7_OT1	0.09
2ASN	B_7_OT1__C_2_N	0.54
2ASN	B_3_O__C_6_N	0.33
2ASN	B_3_N__C_6_O	0.25
2ASN	B_2_N__C_7_OT2	0.01
3ILE	B_7_OT2__C_2_N	0.38
3ILE	B_7_N__C_2_O	0.77
3ILE	B_5_N__C_4_O	0.65
3ILE	B_7_OT1__C_2_N	0.49
3ILE	B_5_O__C_4_N	0.75
3ILE	B_3_N__C_6_O	0.02
3ILE	B_3_O__C_6_N	0.12
