poltype	hbtype	occurence
3VAL	C_3_N__D_6_O	0.72
3VAL	C_5_N__D_4_O	0.8
3VAL	C_3_O__D_6_N	0.91
3VAL	C_5_O__D_4_N	0.8
3VAL	C_7_N__D_2_O	0.2
3VAL	C_7_OT1__D_2_N	0.17
3VAL	C_2_N__D_7_OT2	0.0
2THR	C_5_N__D_4_O	0.15
2THR	C_7_N__D_2_O	0.44
2THR	C_3_O__D_6_N	0.41
2THR	C_5_O__D_4_N	0.37
2THR	C_7_OT1__D_2_N	0.32
2THR	C_3_N__D_6_O	0.34
2THR	C_2_N__D_7_OT2	0.0
1ALAGLY	C_3_O__D_6_N	0.77
1ALAGLY	C_5_O__D_4_N	0.63
1ALAGLY	C_7_OT1__D_2_N	0.46
1ALAGLY	C_3_N__D_6_O	0.47
1ALAGLY	C_7_N__D_2_O	0.62
1ALAGLY	C_5_N__D_4_O	0.51
1ALAGLY	C_7_OT2__D_2_N	0.27
1ALAGLY	C_2_N__D_7_OT2	0.0
1ALA	C_3_N__D_6_O	0.61
1ALA	C_5_N__D_4_O	0.61
1ALA	C_3_O__D_6_N	0.89
1ALA	C_7_N__D_2_O	0.55
1ALA	C_5_O__D_4_N	0.79
1ALA	C_7_OT1__D_2_N	0.31
1ALA	C_7_OT2__D_2_N	0.19
1GLY	C_7_N__D_2_O	0.69
1GLY	C_3_O__D_6_N	0.56
1GLY	C_7_OT1__D_2_N	0.36
1GLY	C_5_N__D_4_O	0.56
1GLY	C_5_O__D_4_N	0.44
1GLY	C_7_OT2__D_2_N	0.28
1GLY	C_3_N__D_6_O	0.0
1GLY	C_2_N__D_7_OT1	0.0
2ASN	C_3_N__D_6_O	0.71
2ASN	C_3_O__D_6_N	0.89
2ASN	C_5_O__D_4_N	0.6
2ASN	C_7_N__D_2_O	0.47
2ASN	C_7_OT2__D_2_N	0.27
2ASN	C_5_N__D_4_O	0.39
2ASN	C_7_OT1__D_2_N	0.24
3ILE	C_3_O__D_6_N	0.71
3ILE	C_5_O__D_4_N	0.92
3ILE	C_5_N__D_4_O	0.8
3ILE	C_7_N__D_2_O	0.73
3ILE	C_7_OT1__D_2_N	0.85
3ILE	C_3_N__D_6_O	0.42
3ILE	C_7_OT2__D_2_N	0.03
