poltype	hbtype	occurence
3VAL	ring_1_BC	0.84
3VAL	ring_2_BC	0.57
3VAL	ring_3_BC	0.26
3VAL	ring_1_DC	0.68
3VAL	ring_2_DC	0.48
3VAL	ring_3_DC	0.26
2THR	ring_1_BC	0.53
2THR	ring_2_BC	0.35
2THR	ring_3_BC	0.21
2THR	ring_1_DC	0.58
2THR	ring_2_DC	0.22
2THR	ring_3_DC	0.17
1ALAGLY	ring_1_BC	0.68
1ALAGLY	ring_2_BC	0.43
1ALAGLY	ring_3_BC	0.36
1ALAGLY	ring_1_DC	0.39
1ALAGLY	ring_2_DC	0.49
1ALAGLY	ring_3_DC	0.46
1ALA	ring_1_BC	0.62
1ALA	ring_2_BC	0.65
1ALA	ring_3_BC	0.6
1ALA	ring_1_DC	0.54
1ALA	ring_2_DC	0.44
1ALA	ring_3_DC	0.54
1GLY	ring_1_BC	0.43
1GLY	ring_2_BC	0.29
1GLY	ring_3_BC	0.23
1GLY	ring_1_DC	0.14
1GLY	ring_2_DC	0.27
1GLY	ring_3_DC	0.39
2ASN	ring_1_BC	0.82
2ASN	ring_2_BC	0.23
2ASN	ring_3_BC	0.18
2ASN	ring_1_DC	0.59
2ASN	ring_2_DC	0.53
2ASN	ring_3_DC	0.31
3ILE	ring_1_BC	0.61
3ILE	ring_2_BC	0.71
3ILE	ring_3_BC	0.49
3ILE	ring_1_DC	0.42
3ILE	ring_2_DC	0.77
3ILE	ring_3_DC	0.67
