poltype	hbtype	occurence
3VAL	ring_1_BC	0.99
3VAL	ring_2_BC	0.83
3VAL	ring_3_BC	0.71
3VAL	ring_1_DC	0.96
3VAL	ring_2_DC	0.75
3VAL	ring_3_DC	0.37
2THR	ring_1_BC	0.92
2THR	ring_2_BC	0.78
2THR	ring_3_BC	0.62
2THR	ring_1_DC	0.93
2THR	ring_2_DC	0.68
2THR	ring_3_DC	0.53
1ALAGLY	ring_1_BC	0.96
1ALAGLY	ring_2_BC	0.82
1ALAGLY	ring_3_BC	0.77
1ALAGLY	ring_1_DC	0.91
1ALAGLY	ring_2_DC	0.89
1ALAGLY	ring_3_DC	0.88
1ALA	ring_1_BC	0.95
1ALA	ring_2_BC	0.96
1ALA	ring_3_BC	0.94
1ALA	ring_1_DC	0.95
1ALA	ring_2_DC	0.86
1ALA	ring_3_DC	0.9
1GLY	ring_1_BC	0.88
1GLY	ring_2_BC	0.72
1GLY	ring_3_BC	0.64
1GLY	ring_1_DC	0.64
1GLY	ring_2_DC	0.67
1GLY	ring_3_DC	0.75
2ASN	ring_1_BC	0.99
2ASN	ring_2_BC	0.76
2ASN	ring_3_BC	0.73
2ASN	ring_1_DC	0.94
2ASN	ring_2_DC	0.93
2ASN	ring_3_DC	0.57
3ILE	ring_1_BC	0.97
3ILE	ring_2_BC	0.93
3ILE	ring_3_BC	0.87
3ILE	ring_1_DC	0.78
3ILE	ring_2_DC	0.99
3ILE	ring_3_DC	0.94
