poltype	hbtype	occurence
3VAL	B_7_OT1__C_2_N	0.42
3VAL	B_7_N__C_2_O	0.88
3VAL	B_5_N__C_4_O	0.68
3VAL	B_5_O__C_4_N	0.72
3VAL	B_7_OT2__C_2_N	0.52
3VAL	B_3_O__C_6_N	0.3
3VAL	B_3_N__C_6_O	0.21
3VAL	B_2_N__C_7_OT1	0.0
2THR	B_7_OT1__C_2_N	0.78
2THR	B_5_O__C_4_N	0.67
2THR	B_3_O__C_6_N	0.37
2THR	B_7_N__C_2_O	0.67
2THR	B_5_N__C_4_O	0.46
2THR	B_3_N__C_6_O	0.28
2THR	B_2_N__C_7_OT2	0.01
2THR	B_7_OT2__C_2_N	0.0
1ALAGLY	B_5_O__C_4_N	0.61
1ALAGLY	B_7_N__C_2_O	0.87
1ALAGLY	B_5_N__C_4_O	0.64
1ALAGLY	B_7_OT2__C_2_N	0.32
1ALAGLY	B_3_O__C_6_N	0.48
1ALAGLY	B_3_N__C_6_O	0.27
1ALAGLY	B_7_OT1__C_2_N	0.45
1ALA	B_5_O__C_4_N	0.79
1ALA	B_3_O__C_6_N	0.73
1ALA	B_7_N__C_2_O	0.79
1ALA	B_5_N__C_4_O	0.82
1ALA	B_7_OT2__C_2_N	0.58
1ALA	B_3_N__C_6_O	0.6
1ALA	B_7_OT1__C_2_N	0.2
1ALA	B_2_N__C_7_OT1	0.0
1GLY	B_5_O__C_4_N	0.56
1GLY	B_7_N__C_2_O	0.64
1GLY	B_3_O__C_6_N	0.43
1GLY	B_5_N__C_4_O	0.45
1GLY	B_7_OT1__C_2_N	0.26
1GLY	B_7_OT2__C_2_N	0.41
1GLY	B_3_N__C_6_O	0.06
1GLY	B_2_N__C_7_OT1	0.0
1GLY	B_7_N__C_2_N	0.0
2ASN	B_7_OT2__C_2_N	0.55
2ASN	B_7_N__C_2_O	0.9
2ASN	B_7_OT1__C_2_N	0.36
2ASN	B_2_N__C_7_OT1	0.28
2ASN	B_5_O__C_4_N	0.68
2ASN	B_3_O__C_6_N	0.62
2ASN	B_5_N__C_4_O	0.3
2ASN	B_3_N__C_6_O	0.35
2ASN	B_2_N__C_7_OT2	0.0
3ILE	B_7_OT2__C_2_N	0.65
3ILE	B_5_O__C_4_N	0.79
3ILE	B_7_N__C_2_O	0.89
3ILE	B_5_N__C_4_O	0.84
3ILE	B_3_O__C_6_N	0.52
3ILE	B_3_N__C_6_O	0.37
3ILE	B_7_OT1__C_2_N	0.03
