poltype	hbtype	occurence
3VAL	C_3_N__D_6_O	0.72
3VAL	C_5_N__D_4_O	0.67
3VAL	C_3_O__D_6_N	0.92
3VAL	C_5_O__D_4_N	0.56
3VAL	C_7_N__D_2_O	0.33
3VAL	C_7_OT2__D_2_N	0.31
3VAL	C_2_N__D_7_OT2	0.0
2THR	C_3_N__D_6_O	0.79
2THR	C_3_O__D_6_N	0.72
2THR	C_5_N__D_4_O	0.4
2THR	C_7_OT1__D_2_N	0.45
2THR	C_5_O__D_4_N	0.5
2THR	C_2_N__D_7_OT2	0.05
2THR	C_7_N__D_2_O	0.25
2THR	C_7_OT2__D_2_N	0.0
2THR	C_2_N__D_7_OT1	0.0
1ALAGLY	C_5_O__D_4_N	0.77
1ALAGLY	C_7_OT1__D_2_N	0.36
1ALAGLY	C_3_N__D_6_O	0.45
1ALAGLY	C_7_N__D_2_O	0.6
1ALAGLY	C_3_O__D_6_N	0.85
1ALAGLY	C_7_OT2__D_2_N	0.38
1ALAGLY	C_5_N__D_4_O	0.61
1ALAGLY	C_2_N__D_7_OT1	0.0
1ALA	C_3_N__D_6_O	0.59
1ALA	C_5_N__D_4_O	0.55
1ALA	C_7_N__D_2_O	0.64
1ALA	C_3_O__D_6_N	0.9
1ALA	C_5_O__D_4_N	0.75
1ALA	C_7_OT2__D_2_N	0.51
1ALA	C_7_OT1__D_2_N	0.29
1GLY	C_3_O__D_6_N	0.54
1GLY	C_5_N__D_4_O	0.46
1GLY	C_7_N__D_2_O	0.64
1GLY	C_5_O__D_4_N	0.47
1GLY	C_3_N__D_6_O	0.24
1GLY	C_7_OT2__D_2_N	0.21
1GLY	C_7_OT1__D_2_N	0.3
2ASN	C_3_O__D_6_N	0.83
2ASN	C_3_N__D_6_O	0.7
2ASN	C_5_N__D_4_O	0.7
2ASN	C_5_O__D_4_N	0.76
2ASN	C_7_N__D_2_O	0.39
2ASN	C_7_OT2__D_2_N	0.49
2ASN	C_2_N__D_7_OT2	0.02
2ASN	C_7_OT1__D_2_N	0.0
2ASN	C_2_N__D_7_OT1	0.0
3ILE	C_5_N__D_4_O	0.81
3ILE	C_7_N__D_2_O	0.72
3ILE	C_3_O__D_6_N	0.74
3ILE	C_5_O__D_4_N	0.94
3ILE	C_3_N__D_6_O	0.46
3ILE	C_7_OT2__D_2_N	0.87
3ILE	C_7_OT1__D_2_N	0.02
3ILE	C_2_N__D_7_OT2	0.0
